ANIO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,PROB_COMERCIAL,PROB_OPERACIONAL,PROB_OTROS,FECHA_CORTE;;;;;;;;;;;=
2021,202101,200607,Piura,Sullana,Querecotillo,EPS GRAU S.A.,0,1,0,20230808;;;;;;;;;;;
2021,202101,200601,Piura,Sullana,Sullana,EPS GRAU S.A.,18,44,5,20230808;;;;;;;;;;;
2021,202101,200702,Piura,Talara,El Alto,EPS GRAU S.A.,1,1,1,20230808;;;;;;;;;;;
2021,202101,200703,Piura,Talara,La Brea,EPS GRAU S.A.,5,10,1,20230808;;;;;;;;;;;
2021,202101,200705,Piura,Talara,Los Organos,EPS GRAU S.A.,2,0,0,20230808;;;;;;;;;;;
2021,202101,200706,Piura,Talara,Mancora,EPS GRAU S.A.,9,0,1,20230808;;;;;;;;;;;
2021,202101,200701,Piura,Talara,Pariñas,EPS GRAU S.A.,13,13,3,20230808;;;;;;;;;;;
2021,202101,180301,Moquegua,Ilo,Ilo,EPS ILO S.A.,2,0,0,20230808;;;;;;;;;;;
2021,202101,060801,Cajamarca,Jaen,Jaen,EPS MARAÑON S.R.L.,2,5,1,20230808;;;;;;;;;;;
2021,202101,180211,Moquegua,General Sanchez Cerro,Yunga,EPS MOQUEGUA S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,180301,Moquegua,Ilo,Ilo,EPS MOQUEGUA S.A.,0,1,0,20230808;;;;;;;;;;;
2021,202101,180101,Moquegua,Mariscal Nieto,Moquegua,EPS MOQUEGUA S.A.,17,2,1,20230808;;;;;;;;;;;
2021,202101,220101,San Martin,Moyobamba,Moyobamba,EPS MOYOBAMBA S.A.,2,0,0,20230808;;;;;;;;;;;
2021,202101,120901,Junin,Chupaca,Chupaca,EPS MUNICIPAL MANTARO S.A.,0,7,0,20230808;;;;;;;;;;;
2021,202101,120201,Junin,Concepcion,Concepcion,EPS MUNICIPAL MANTARO S.A.,0,2,1,20230808;;;;;;;;;;;
2021,202101,120212,Junin,Concepcion,Nueve de Julio,EPS MUNICIPAL MANTARO S.A.,2,0,0,20230808;;;;;;;;;;;
2021,202101,120401,Junin,Jauja,Jauja,EPS MUNICIPAL MANTARO S.A.,0,2,0,20230808;;;;;;;;;;;
2021,202101,120434,Junin,Jauja,Yauyos,EPS MUNICIPAL MANTARO S.A.,0,1,0,20230808;;;;;;;;;;;
2021,202101,210101,Puno,Puno,Puno,EPS NOR PUNO S.A.,0,0,1,20230808;;;;;;;;;;;
2021,202101,060204,Cajamarca,Cajabamba,Sitacocha,EPS SEDACAJ S.A.,0,0,1,20230808;;;;;;;;;;;
2021,202101,060101,Cajamarca,Cajamarca,Cajamarca,EPS SEDACAJ S.A.,54,8,8,20230808;;;;;;;;;;;
2021,202101,060801,Cajamarca,Jaen,Jaen,EPS SEDACAJ S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,211101,Puno,San Roman,Juliaca,EPS SEDAJULIACA S.A.,2,0,1,20230808;;;;;;;;;;;
2021,202101,160201,Loreto,Alto Amazonas,Yurimaguas,EPS SEDALORETO S.A.,0,1,0,20230808;;;;;;;;;;;
2021,202101,160112,Loreto,Maynas,Belen,EPS SEDALORETO S.A.,3,0,0,20230808;;;;;;;;;;;
2021,202101,160101,Loreto,Maynas,Iquitos,EPS SEDALORETO S.A.,72,25,0,20230808;;;;;;;;;;;
2021,202101,160108,Loreto,Maynas,Punchana,EPS SEDALORETO S.A.,6,5,1,20230808;;;;;;;;;;;
