NUM;FECHA_CORTE;PERIODO;TIPO_LARGA_DISTANCIA;EMPRESA;CÓDIGO;TIPO_TRÁFICO;TRÁFICO;;;;;;;;
119;20240617;200302;Larga Distancia Nacional;AMERICATEL PERÚ S.A.;C;Tarjetas de Pago;823,247.00;;;;;;;;
120;20240617;200302;Larga Distancia Internacional - Saliente;AMERICATEL PERÚ S.A.;C;Tarjetas de Pago;224,908.00;;;;;;;;
121;20240617;200302;Larga Distancia Internacional - Entrante;AMERICATEL PERÚ S.A.;H;No reportado;10,580,029.56;;;;;;;;
122;20240617;200302;Larga Distancia Nacional;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;A;Preselección;55,702.00;;;;;;;;
123;20240617;200302;Larga Distancia Internacional - Saliente;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;A;Preselección;20,503.00;;;;;;;;
124;20240617;200302;Larga Distancia Nacional;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;D;Tráfico originado en líneas de telefonía móvil;1,070,472.00;;;;;;;;
125;20240617;200302;Larga Distancia Internacional - Saliente;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;D;Tráfico originado en líneas de telefonía móvil;302,552.00;;;;;;;;
126;20240617;200302;Larga Distancia Nacional;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;E;Tráfico originado en teléfonos de uso público de la empresa;82,068.00;;;;;;;;
127;20240617;200302;Larga Distancia Internacional - Saliente;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;E;Tráfico originado en teléfonos de uso público de la empresa;26,707.00;;;;;;;;
128;20240617;200302;Larga Distancia Internacional - Entrante;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;H;No reportado;4,178,573.00;;;;;;;;
129;20240617;200302;Larga Distancia Internacional - Entrante;CIRION TECHNOLOGIES PERÚ S.A.;H;No reportado;10,697,227.05;;;;;;;;
130;20240617;200302;Larga Distancia Nacional;COMPAÑÍA TELEFÓNICA ANDINA S.A.;C;Tarjetas de Pago;695.00;;;;;;;;
131;20240617;200302;Larga Distancia Internacional - Saliente;COMPAÑÍA TELEFÓNICA ANDINA S.A.;C;Tarjetas de Pago;538.00;;;;;;;;
132;20240617;200302;Larga Distancia Internacional - Entrante;COMPAÑÍA TELEFÓNICA ANDINA S.A.;H;No reportado;1,366,070.00;;;;;;;;
133;20240617;200302;Larga Distancia Nacional;CONVERGIA PERÚ S.A.;A;Preselección;33,107.00;;;;;;;;
